out-POSCAR-CCOP-001-131 -4.773658375
out-POSCAR-CCOP-002-131 -5.197925
out-POSCAR-CCOP-003-131 -5.214278
out-POSCAR-CCOP-004-131 -4.777786875
out-POSCAR-CCOP-005-131 -5.06152475
out-POSCAR-CCOP-006-132 -4.730548625
out-POSCAR-CCOP-007-132 -4.773654
out-POSCAR-CCOP-008-132 -4.829864625
out-POSCAR-CCOP-009-132 -4.805561125
out-POSCAR-CCOP-010-132 -5.275750875
out-POSCAR-CCOP-011-133 -4.7683595
out-POSCAR-CCOP-012-133 -5.233352875
out-POSCAR-CCOP-013-133 -4.82986475
out-POSCAR-CCOP-014-133 -4.887041875
out-POSCAR-CCOP-015-133 -4.773310375
out-POSCAR-CCOP-016-134 -5.233346
out-POSCAR-CCOP-017-134 -4.777629875
out-POSCAR-CCOP-018-134 -4.77365025
out-POSCAR-CCOP-019-134 -4.63682725
out-POSCAR-CCOP-020-134 -4.79101825
out-POSCAR-CCOP-021-135 -4.685996875
out-POSCAR-CCOP-022-135 -4.94122525
out-POSCAR-CCOP-023-135 -5.15566225
out-POSCAR-CCOP-024-135 -4.77331125
out-POSCAR-CCOP-025-135 -4.82986275
out-POSCAR-CCOP-026-136 -4.768356125
out-POSCAR-CCOP-027-136 -4.8003605
out-POSCAR-CCOP-028-136 -4.77365325
out-POSCAR-CCOP-029-136 -4.832302125
out-POSCAR-CCOP-030-136 -5.14183525
